CBSA	WI24	CBSA Name
31420	0.8625	"Macon-Bibb County, GA"
31460	0.7277	"Madera, CA"
31540	0.9843	"Madison, WI"
31700	0.9583	"Manchester-Nashua, NH"
31740	0.8464	"Manhattan, KS"
31860	1.0574	"Mankato, MN"
31900	0.8992	"Mansfield, OH"
32420	0.3199	"Mayagüez, PR"
32580	0.7625	"McAllen-Edinburg-Mission, TX"
32780	1.0835	"Medford, OR"
32820	0.82	"Memphis, TN-MS-AR"
32900	1.3892	"Merced, CA"
33124	0.925	"Miami-Miami Beach-Kendall, FL"
33140	0.895	"Michigan City-La Porte, IN"
33220	0.9121	"Midland, MI"
33260	0.8192	"Midland, TX"
33340	0.9629	"Milwaukee-Waukesha, WI"
33460	1.0647	"Minneapolis-St. Paul-Bloomington, MN-WI"
33540	0.9089	"Missoula, MT"
33660	0.7535	"Mobile, AL"
33700	1.3356	"Modesto, CA"
33740	0.7748	"Monroe, LA"
33780	0.8613	"Monroe, MI"
33860	0.7926	"Montgomery, AL"
33874	0.9851	"Montgomery County-Bucks County-Chester County, PA"
34060	0.7474	"Morgantown, WV"
34100	0.6964	"Morristown, TN"
34580	1.0113	"Mount Vernon-Anacortes, WA"
34620	0.8857	"Muncie, IN"
34740	0.8849	"Muskegon, MI"
34820	0.8398	"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
34900	1.4902	"Napa, CA"
34940	0.8375	"Naples-Marco Island, FL"
34980	0.8782	"Nashville-Davidson--Murfreesboro--Franklin, TN"
35004	1.3338	"Nassau County-Suffolk County, NY"
35084	1.1288	"Newark, NJ-PA"
35100	0.7527	"New Bern, NC"
35154	1.1179	"New Brunswick-Lakewood, NJ"
35300	1.134	"New Haven-Milford, CT"
35380	0.8186	"New Orleans-Metairie, LA"
35614	1.3729	"New York-Jersey City-White Plains, NY-NJ"
35660	0.7835	"Niles, MI"
35840	0.9161	"North Port-Sarasota-Bradenton, FL"
35980	1.0665	"Norwich-New London, CT"
36084	1.899	"Oakland-Berkeley-Livermore, CA"
36100	0.903	"Ocala, FL"
36140	1.0355	"Ocean City, NJ"
36220	0.8297	"Odessa, TX"
36260	0.8956	"Ogden-Clearfield, UT"
36420	0.8855	"Oklahoma City, OK"
36500	1.1205	"Olympia-Lacey-Tumwater, WA"
36540	0.9571	"Omaha-Council Bluffs, NE-IA"
36740	0.8654	"Orlando-Kissimmee-Sanford, FL"
36780	0.9051	"Oshkosh-Neenah, WI"
36980	0.8555	"Owensboro, KY"
37100	1.3086	"Oxnard-Thousand Oaks-Ventura, CA"
37340	0.8678	"Palm Bay-Melbourne-Titusville, FL"
37460	0.8789	"Panama City, FL"
37620	0.7597	"Parkersburg-Vienna, WV"
37860	0.7692	"Pensacola-Ferry Pass-Brent, FL"
37900	0.8271	"Peoria, IL"
37964	1.0877	"Philadelphia, PA"
38060	0.9831	"Phoenix-Mesa-Chandler, AZ"
38220	0.7343	"Pine Bluff, AR"
38300	0.8244	"Pittsburgh, PA"
38340	1.0361	"Pittsfield, MA"
38540	0.9438	"Pocatello, ID"
38660	0.354	"Ponce, PR"
38860	0.9837	"Portland-South Portland, ME"
38900	1.2475	"Portland-Vancouver-Hillsboro, OR-WA"
38940	0.8573	"Port St. Lucie, FL"
39100	1.2882	"Poughkeepsie-Newburgh-Middletown, NY"
39150	0.9788	"Prescott Valley-Prescott, AZ"
39300	1.0012	"Providence-Warwick, RI-MA"
39340	0.9119	"Provo-Orem, UT"
39380	0.8537	"Pueblo, CO"
39460	0.8397	"Punta Gorda, FL"
39540	0.9931	"Racine, WI"
39580	0.9367	"Raleigh-Cary, NC"
39660	0.8668	"Rapid City, SD"
39740	0.8938	"Reading, PA"
39820	1.4031	"Redding, CA"
39900	0.9365	"Reno, NV"
40060	0.9153	"Richmond, VA"
40140	1.2368	"Riverside-San Bernardino-Ontario, CA"
40220	0.8414	"Roanoke, VA"
40340	1.0746	"Rochester, MN"
40380	0.9143	"Rochester, NY"
40420	0.9339	"Rockford, IL"
40484	1.004	"Rockingham County-Strafford County, NH"
